

../data-atsp/rbg443.atsp steepest
    1	 0.15	 0.16	 0.14	 0.17	 0.16	 0.16	 0.16	 0.15	 0.13 
 0.15	 1	     0.16	 0.18	 0.15	 0.17	 0.16	 0.15	 0.16	 0.17 
 0.16	 0.16	    1	 0.17	 0.16	 0.17	 0.19	 0.16	 0.17	 0.17 
 0.14	 0.18 	 0.17	    1	 0.19	 0.19	 0.17	 0.16	 0.15	 0.17 
 0.17	 0.15	 0.16	 0.19	    1	 0.16	 0.16	 0.16	 0.15	 0.15 
 0.16	 0.17	 0.17	 0.19	 0.16	    1	  0.2	 0.18	 0.15	 0.17 
 0.16	 0.16	 0.19	 0.17	 0.16	  0.2	    1	 0.18	 0.19	 0.14 
 0.16	 0.15	 0.16	 0.16	 0.16	 0.18	 0.18	    1	 0.18	 0.18 
 0.15	 0.16	 0.17	 0.15	 0.15	 0.15	 0.19	 0.18	    1	 0.16 
 0.13	 0.17	 0.17	 0.17	 0.15	 0.17	 0.14	 0.18	 0.16	    1
  

../data-atsp/rbg403.atsp steepest
    1	 0.17	 0.17	 0.15	 0.16	 0.18	 0.15	 0.16	 0.16	 0.17	
 0.17	    1	 0.16	 0.13	 0.16	 0.17	 0.17	 0.15	 0.16	 0.15	
 0.17	 0.16	    1	 0.16	  0.2	 0.18	 0.17	 0.15	 0.17	 0.17	
 0.15	 0.13	 0.16	    1	 0.17	 0.15	 0.19	 0.18	 0.16	 0.17	
 0.16	 0.16	  0.2	 0.17	    1	 0.17	 0.17	 0.15	 0.17	 0.14	
 0.18	 0.17	 0.18	 0.15	 0.17	    1	 0.15	 0.15	 0.17	 0.15	
 0.15	 0.17	 0.17	 0.19	 0.17	 0.15	    1	 0.14	 0.16	 0.16	
 0.16	 0.15	 0.15	 0.18	 0.15	 0.15	 0.14	    1	 0.16	 0.17	
 0.16	 0.16	 0.17	 0.16	 0.17	 0.17	 0.16	 0.16	    1	 0.17	
 0.17	 0.15	 0.17	 0.17	 0.14	 0.15	 0.16	 0.17	 0.17	    1	

../data-atsp/p43.atsp steepest
    1	 0.26	 0.19	 0.19	 0.07	 0.14	 0.14	 0.12	  0.3	 0.12	
 0.26	    1	 0.12	 0.28	 0.12	 0.21	 0.23	 0.28	 0.14	 0.19	
 0.19	 0.12	    1	 0.14	 0.07	0.093	0.093	 0.14	 0.21	 0.14	
 0.19	 0.28	 0.14	    1	 0.14	 0.21	 0.23	 0.14	0.023	 0.23	
 0.07	 0.12	 0.07	 0.14	    1	 0.23	 0.12	 0.21	0.023	 0.12	
 0.14	 0.21	0.093	 0.21	 0.23	    1	 0.16	 0.33	0.047	 0.14	
 0.14	 0.23	0.093	 0.23	 0.12	 0.16	    1	 0.14	0.093	0.093	
 0.12	 0.28	 0.14	 0.14	 0.21	 0.33	 0.14	    1	 0.07	 0.14	
  0.3	 0.14	 0.21	0.023	0.023	0.047	0.093	 0.07	    1	 0.16	
 0.12	 0.19	 0.14	 0.23	 0.12	 0.14	0.093	 0.14	 0.16	    1	

